Codebase,Path,Line,tool,Checker,Message,Error,Verdict,Notes
zeek,src/3rdparty/sqlite3.c,72909,clang-tidy,clang-analyzer-core.NonNullParamChecker,"Null pointer passed to 2nd parameter expecting 'nonnull'",???,Unknown,
zeek,src/3rdparty/sqlite3.c,74895,clang-tidy,clang-analyzer-core.NonNullParamChecker,"Null pointer passed to 2nd parameter expecting 'nonnull'",???,Unknown,
zeek,src/3rdparty/sqlite3.c,77064,clang-tidy,clang-analyzer-core.NullDereference,"Access to field 'sharable' results in a dereference of a null pointer (loaded from variable 'p')",???,Unknown,
zeek,src/3rdparty/sqlite3.c,79082,clang-tidy,clang-analyzer-core.NullDereference,"Array access (via field 'z') results in a null pointer dereference",???,Unknown,
zeek,src/3rdparty/sqlite3.c,84675,cppcheck,nullPointerRedundantCheck,"Either the condition 'pIdxKey' is redundant or there is possible null pointer dereference, p.",???,Unknown,
zeek,src/3rdparty/sqlite3.c,98271,clang-tidy,clang-analyzer-core.NullDereference,"Dereference of null pointer",???,Unknown,
zeek,src/3rdparty/sqlite3.c,99844,clang-tidy,clang-analyzer-core.NonNullParamChecker,"Null pointer passed to 2nd parameter expecting 'nonnull'",???,Unknown,
zeek,src/3rdparty/sqlite3.c,99971,clang-tidy,clang-analyzer-core.NonNullParamChecker,"Null pointer passed to 1st parameter expecting 'nonnull'",???,Unknown,
zeek,src/3rdparty/sqlite3.c,105076,clang-tidy,clang-analyzer-core.NullDereference,"Access to field 'nExpr' results in a dereference of a null pointer (loaded from variable 'pEList')",???,Unknown,
zeek,src/3rdparty/sqlite3.c,105598,clang-tidy,clang-analyzer-core.NullDereference,"Access to field 'nExpr' results in a dereference of a null pointer (loaded from variable 'pEList')",???,Unknown,
zeek,src/3rdparty/sqlite3.c,106390,clang-tidy,clang-analyzer-core.NullDereference,"Access to field 'nExpr' results in a dereference of a null pointer (loaded from variable 'pFarg')",???,Unknown,
zeek,src/3rdparty/sqlite3.c,113833,clang-tidy,clang-analyzer-core.NullDereference,"Access to field 'nSrc' results in a dereference of a null pointer (loaded from variable 'pTabList')",???,Unknown,
zeek,src/3rdparty/sqlite3.c,116890,clang-tidy,clang-analyzer-core.NullDereference,"Access to field 'z' results in a dereference of a null pointer (loaded from variable 'pCons')",???,Unknown,
zeek,src/3rdparty/sqlite3.c,118345,clang-tidy,clang-analyzer-core.NullDereference,"Access to field 'z' results in a dereference of a null pointer (loaded from variable 'pName')",???,Unknown,
zeek,src/3rdparty/sqlite3.c,120197,cppcheck,nullPointer,"Null pointer dereference, (struct VTable*)0",???,Unknown,
zeek,src/3rdparty/sqlite3.c,124125,clang-tidy,clang-analyzer-core.NullDereference,"Access to field 'nKeyCol' results in a dereference of a null pointer (loaded from variable 'pIdx')",???,Unknown,
zeek,src/3rdparty/sqlite3.c,124879,clang-tidy,clang-analyzer-core.NullDereference,"Access to field 'op' results in a dereference of a null pointer (loaded from variable 'pStep')",???,Unknown,
zeek,src/3rdparty/sqlite3.c,124884,clang-tidy,clang-analyzer-core.NullDereference,"Access to field 'op' results in a dereference of a null pointer (loaded from variable 'pStep')",???,Unknown,
zeek,src/3rdparty/sqlite3.c,128036,clang-tidy,clang-analyzer-core.NullDereference,"Access to field 'tnum' results in a dereference of a null pointer (loaded from variable 'pSrcIdx')",???,Unknown,
zeek,src/3rdparty/sqlite3.c,134032,cppcheck,nullPointerRedundantCheck,"Either the condition 'ppStmt==0' is redundant or there is possible null pointer dereference, ppStmt.",???,Unknown,
zeek,src/3rdparty/sqlite3.c,134180,cppcheck,nullPointerRedundantCheck,"Either the condition 'ppStmt==0' is redundant or there is possible null pointer dereference, ppStmt.",???,Unknown,
zeek,src/3rdparty/sqlite3.c,136375,cppcheck,nullPointerRedundantCheck,"Either the condition 'pColExpr!=0' is redundant or there is possible null pointer dereference, pColExpr.",???,Unknown,
zeek,src/3rdparty/sqlite3.c,137928,cppcheck,nullPointerRedundantCheck,"Either the condition 'pSubst->pEList!=0' is redundant or there is possible null pointer dereference, pSubst->pEList.",???,Unknown,
zeek,src/3rdparty/sqlite3.c,138598,clang-tidy,clang-analyzer-core.NullDereference,"Access to field 'pSrc' results in a dereference of a null pointer (loaded from variable 'pSub')",???,Unknown,
zeek,src/3rdparty/sqlite3.c,145056,clang-tidy,clang-analyzer-core.NullDereference,"Access to field 'iDataCur' results in a dereference of a null pointer (loaded from variable 'pUpsert')",???,Unknown,
zeek,src/3rdparty/sqlite3.c,155693,clang-tidy,clang-analyzer-core.NullDereference,"Dereference of null pointer (loaded from variable 'pbRetryLimit')",???,Unknown,
zeek,src/3rdparty/sqlite3.c,157979,clang-tidy,clang-analyzer-core.NullDereference,"Access to field 'pParse' results in a dereference of a null pointer (loaded from variable 'pWInfo')",???,Unknown,
zeek,src/3rdparty/sqlite3.c,173057,clang-tidy,clang-analyzer-core.NullDereference,"Array access (from variable 'zFilename') results in a null pointer dereference",???,Unknown,
zeek,src/3rdparty/sqlite3.c,173057,cppcheck,nullPointerRedundantCheck,"Either the condition 'zFilename' is redundant or there is possible null pointer dereference, zFilename.",???,Unknown,
zeek,src/3rdparty/sqlite3.c,173107,cppcheck,nullPointerArithmeticRedundantCheck,"Either the condition 'zFilename' is redundant or there is pointer arithmetic with NULL pointer.",???,Unknown,
zeek,src/zeek/Dict.h,885,cppcheck,nullPointerDefaultArg,"Possible null pointer dereference if the default parameter value is used, distances",return;,Suspicious,before a plain 'return' can be used must verify rest of code can be skipped
zeek,src/zeek/IPAddr.h,243,clang-tidy,clang-analyzer-core.NonNullParamChecker,"Null pointer passed to 1st parameter expecting 'nonnull'",None,Suspicious,
